Aspergillus taichungensis
Aspergillus terreus
Aspergillus pseudoterreus
Aspergillus lentulus
Aspergillus novofumigatus
Aspergillus fumigatus_NRRL_5109
Aspergillus fumigatus_Af293
Neosartorya fischeri
Aspergillus udagawae
Aspergillus turcosus
Aspergillus clavatus
Eurotium cristatum
Eurotium chevalieri
Aspergillus glaucus
Eurotium rubrum
Eurotiomycetes sp._MA_6039
Eurotiomycetes sp._MA_6038
Aspergillus wentii
Penicillium sp._MA_6040
Penicillium sp._HKF2
Penicillium chrysogenum
Penicillium rubens
Penicillium flavigenum
Penicillium sp._CF05
Penicillium nalgiovense
Penicillium carneum
Penicillium roqueforti
Penicillium paneum
Penicillium verrucosum
Penicillium nordicum
Penicillium polonicum
Penicillium freii
Penicillium camemberti_FM013
Penicillium camemberti_FM169
Penicillium commune
Penicillium solitum
Penicillium italicum
Penicillium digitatum
Penicillium vulpinum
Penicillium griseofulvum
Penicillium coprophilum
Penicillium sp._MA_6036
Penicillium antarcticum
Penicillium capsulatum
Penicillium arizonense
Penicillium sclerotiorum
Penicillium oxalicum
Penicillium expansum
Penicillium brasilianum
Talaromyces purpureogenus
Penicillium subrubescens
Penicillium simplicissimum
Penicillium decumbens
Penicillium paxilli
Penicillium steckii
Penicillium citrinum
Penicilliopsis zonata
Talaromyces leycettanus
Byssochlamys nivea
Byssochlamys sp._AF001
Byssochlamys spectabilis
Thermoascus crustaceus
Elaphomyces granulatus
Talaromyces emersonii
Thermomyces lanuginosus
Talaromyces piceae
Talaromyces wortmannii
Penicillium islandicum
Talaromyces atroroseus
Talaromyces borbonicus
Talaromyces stipitatus
Talaromyces marneffei
Talaromyces amestolkiae
Penicillium occitanis
Penicillium pinophilum
Talaromyces cellulolyticus
Talaromyces adpressus
Talaromyces verruculosus
